流水號,課號,課程識別碼,班次,課程名稱,學分,教師姓名,學期,上課時間,上課地點
82447,BSE5015,622 U0020,,地下水,3,蔡瑞彬,111-1,"星期三2,3,4(9:10~12:10)",農工九
51241,BSE5114,622 U4710,,類神經網路：理論與實務,3,張斐章,111-1,"星期一7,8,9(14:20~17:20)",農工九
22731,BSE7001,622 M0030,1.0,專題討論,1,蔡瑞彬,111-1,"星期四8,9(15:30~17:20)",農工金城
49879,BSE7002,622 M1710,5.0,書報研讀一,2,張斐章,111-1,,
37151,BSE8026,622 D0530,,智慧型控制特論,3,張斐章,111-1,"星期三7,8,9(14:20~17:20)",農工金城
61741,Data5006,946 U0060,1.0,Python程式設計,3,林澤佑,111-1,"星期二6,7,8(13:20~16:20)",新403
