流水號,課號,課程識別碼,班次,課程名稱,學分,教師姓名
82447,BSE5015,622 U0020,,地下水,3,蔡瑞彬
51241,BSE5114,622 U4710,,類神經網路：理論與實務,3,張斐章
22731,BSE7001,622 M0030,01,專題討論,1,蔡瑞彬
49879,BSE7002,622 M1710,05,書報研讀一,2,張斐章
37151,BSE8026,622 D0530,,智慧型控制特論,3,張斐章
61741,Data5006,946 U0060,01,Python程式設計,3,林澤佑
