流水號,課號,課程識別碼,班次,課程名稱,學分,教師姓名
83239,BICD2038,610 23060,,視覺傳播,3,李明道
55739,ECON2024,303 22080,,影視幕後的商業運作,2,馮勃翰
87235,GenSys5023,B48 U0420,02,以Excel進行資料分析,2,林友瑜
29331,LIS2010,106 26900,,電腦網路與通訊,2,楊東謀
50238,LIS4011,106 46400,,圖書館統計學,3,林維真
29454,LIS4015,106 47500,,研究方法與論文寫作,2,鄭瑋
70941,PS1011,302 10310,03,國際關係一,2,郭銘傑
37079,PS2021,302 24710,,經濟學乙一,2,王宏文
72068,Psy1007,207 10100,05,普通心理學,3,葉俊毅
54414,Write5024,Q01 U0580,01,小故事，大世界,3,張  晨
